feature,gainratio
num_shells,8.274755456863063e-05
dst_host_srv_diff_host_rate,7.07908958281436e-05
srv_rerror_rate,5.379187120242654e-05
hot,5.237689255175267e-05
rerror_rate,4.998557854710395e-05
diff_srv_rate,3.4972669235288236e-05
num_compromised,3.186435982235949e-05
flag,3.048589849406809e-05
duration,2.1270458956214445e-05
count,1.5952844217160834e-05
dst_host_srv_rerror_rate,0.7427285001252075
protocol_type,0.06625606479324347
is_host_login,0.05973386724420968
num_root,0.04545824796524355
num_access_files,0.024778027076462605
dst_bytes,0.01973124862898601
su_attempted,0.011030009006958103
dst_host_diff_srv_rate,0.009891343521921506
wrong_fragment,0.004625109852207983
level,0.0035446051274975548
num_outbound_cmds,0.0014983941813477232
root_shell,0.001436203385139328
service,0.001221292405632614
urgent,0.0011090423214083717
land,0.0009828352435547836
srv_serror_rate,0.0009254808712137124
src_bytes,0.0008870881284916413
dst_host_srv_count,0.0007670690385967691
num_failed_logins,0.0007601409952988305
is_guest_login,0.0007362911360886623
srv_diff_host_rate,0.0007097736696675576
num_file_creations,0.0006128084397405927
same_srv_rate,0.0001323178184581096
srv_count,0.0
dst_host_same_src_port_rate,0.0
serror_rate,0.0
dst_host_rerror_rate,0.0
dst_host_serror_rate,0.0
dst_host_srv_serror_rate,0.0
logged_in,0.0
dst_host_same_srv_rate,0.0
dst_host_count,0.0
